imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt8619822,tvSeries,Light as a Feather,Light as a Feather,2018,2019,23,"Drama,Fantasy,Horror",6.5,3937.0,Hulu,"nm0004500,nm2980507,nm0005088,nm0126032,nm0005165,nm0021592,nm0032375,nm0314104,nm1740015,nm0934663","nm8238693,nm0281592,nm7208045,nm0445089,nm3466037,nm0113115,nm8919197,nm1779885,nm0718555",TV-14,8619822,81829.0
tt8682948,tvMiniSeries,The Act,The Act,2019,2019,425,"Biography,Crime,Drama",7.9,34290.0,Hulu,"nm0166438,nm5013702,nm0035060,nm1357921,nm4227232","nm4528537,nm9287529,nm1143319,nm9339727,nm2813715,nm4798028",TV-MA,8682948,82883.0
tt9113406,tvSeries,Wu-Tang: An American Saga,Wu-Tang: An American Saga,2019,2023,49,"Biography,Drama,Music",8.3,11024.0,Hulu,"nm0005522,nm0957197,nm0743676,nm0923423,nm8663041,nm2866495,nm0753526,nm0053157,nm0118778,nm0335337,nm0002700,nm1309090,nm1288934,nm2831529,nm1325497,nm0177512,nm6789081","nm1560202,nm0753526,nm0874844,nm3367331,nm1499089,nm3162291,nm1645352,nm2130654,nm0055756,nm7092221,nm0204530,nm2044634,nm4046970,nm9712437",TV-MA,9113406,90870.0
tt3829868,tvMiniSeries,Looking for Alaska,Looking for Alaska,2019,2019,426,"Drama,Romance",8.0,13677.0,Hulu,"nm0245112,nm2079484,nm2165614,nm0341722,nm1417640,nm0542642,nm0777300,nm2262138","nm1981261,nm9638153,nm0777300,nm5771286,nm1335634,nm3098669,nm1771570,nm4212091",TV-MA,3829868,88640.0
tt8594028,tvSeries,Reprisal,Reprisal,2019,2019,51,"Action,Crime,Drama",7.4,4706.0,Hulu,"nm1743387,nm0637458,nm1576066,nm0724757","nm3399230,nm9563565,nm4045429,nm0402804,nm1854959,nm9339727,nm0820905,nm2468583",TV-MA,8594028,89314.0
tt8134186,tvMiniSeries,Devs,Devs,2020,2020,409,"Drama,Mystery,Sci-Fi",7.7,45725.0,Hulu,nm0307497,nm0307497,TV-MA,8134186,81349.0
tt8089592,tvMiniSeries,Little Fires Everywhere,Little Fires Everywhere,2020,2020,463,"Drama,Mystery,Thriller",7.7,53290.0,Hulu,"nm1971220,nm0915920,nm1119645","nm7328348,nm1168067,nm7751070,nm5393607,nm5547317,nm5148534,nm3739963,nm0848090,nm0938861",TV-MA,8089592,90257.0
tt9244556,tvMiniSeries,Mrs. America,Mrs. America,2020,2020,458,"Biography,Drama,History",7.9,13283.0,Hulu,"nm1349818,nm0281396,nm1392994,nm0166438,nm1891632","nm6051386,nm1934923,nm1577092,nm1460116,nm0054497,nm5265639,nm5603450",TV-MA,9244556,83605.0
tt2187319,tvSeries,Battleground,Battleground,2012,2012,22,"Comedy,Drama",7.7,333.0,Hulu,nm0909665,"nm2043941,nm1965663,nm3314983,nm0909665",,2187319,57283.0
tt2883562,tvSeries,Quick Draw,Quick Draw,2013,2014,23,"Comedy,Western",7.6,1581.0,Hulu,nm0398107,"nm0398107,nm0499856",TV-MA,2883562,38960.0
tt3147316,tvSeries,Deadbeat,Deadbeat,2014,2016,22,"Comedy,Fantasy",7.3,5339.0,Hulu,"nm0003474,nm4190073,nm5342427,nm2159489,nm2149400,nm3033473,nm1015063,nm2307949","nm3135482,nm2407316,nm4007352,nm2367949,nm2356525,nm1247276,nm2798916,nm4138718,nm6909919,nm3505281,nm6411681,nm4374776,nm9651413",TV-14,3147316,62234.0
tt3453512,tvSeries,The Hotwives of Orlando,The Hotwives of Orlando,2014,2014,30,Comedy,7.5,975.0,Hulu,nm2352792,"nm0270718,nm1668855",,3453512,61281.0
tt4633166,tvSeries,The Hotwives of Las Vegas,The Hotwives of Las Vegas,2015,2015,30,Comedy,6.8,533.0,Hulu,nm2352792,"nm0270718,nm1668855",,4633166,75390.0
tt3432810,tvSeries,The Neighbors,The Neighbors,2014,2016,24,Comedy,2.7,557.0,Hulu,nm1382072,nm1382072,TV-PG,3432810,44586.0
tt4676574,tvSeries,Difficult People,Difficult People,2015,2017,30,Comedy,7.1,4512.0,Hulu,"nm0907835,nm0281598,nm0198490,nm2062844","nm2453113,nm0283905,nm3756026,nm2062844,nm1417116,nm0502046,nm3920289,nm1912534,nm11505386",,4676574,63353.0
tt4577466,tvSeries,Casual,Casual,2015,2018,25,"Comedy,Drama",7.5,9330.0,Hulu,"nm1247855,nm3521871,nm5514695,nm0718646,nm0000625,nm0935253,nm0915920,nm7629886,nm1119645,nm0476201,nm2615685,nm1716636,nm4227232,nm1128572,nm0110644,nm1564798","nm7629886,nm5393607,nm5547317,nm4030641,nm3842480,nm2208729,nm1168067,nm0532880,nm3558363,nm1417116,nm1204858,nm1143861,nm1241175",TV-MA,4577466,64043.0
tt4975856,tvSeries,Future Man,Future Man,2017,2020,30,"Action,Adventure,Comedy",7.7,28075.0,Hulu,"nm0909946,nm0915920,nm1698571,nm0736622,nm0120645,nm0007096,nm0188929,nm0236226,nm0304091,nm0106230,nm0205542,nm0791381,nm0957197,nm1060930","nm3773434,nm1882744,nm3782043,nm6446320,nm1544840,nm4237558,nm3165087,nm3013892,nm0439499,nm3287778,nm0969782,nm1531358,nm5426546,nm1754595,nm5093013,nm2350699",TV-MA,4975856,73157.0
tt7292950,tvSeries,All Night,All Night,2018,2018,24,Comedy,6.0,656.0,Hulu,"nm0200380,nm0398107,nm1451294","nm3269881,nm4351487,nm0281592,nm4679990",TV-14,7292950,39354.0
tt8324422,tvSeries,PEN15,PEN15,2019,2021,30,Comedy,8.1,13514.0,Hulu,"nm1587825,nm2440581,nm2777326,nm5193396,nm4224109","nm4224109,nm5193396,nm1587825,nm7466960,nm4460471,nm4915003,nm1289832,nm3496467,nm1088461,nm4731437,nm2671270,nm5202691,nm5426812,nm5567477",TV-MA,8324422,85702.0
tt8962130,tvSeries,Shrill,Shrill,2019,2021,30,"Comedy,Drama",7.4,9202.0,Hulu,"nm2440581,nm3489851,nm1247855,nm0673400,nm3521871,nm0038893,nm1857131,nm0005169,nm5294992,nm1444412,nm3060183","nm5262775,nm1494121,nm4873492,nm5609239,nm3445626,nm6003622,nm2914092,nm1567818,nm1802537,nm10580111,nm0454626,nm1127337",TV-MA,8962130,85046.0
