imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name
tt15096728,tvSeries,High Water,High Water,2022,0,45,7.1,6148.0,Netflix,13,15096728,130477,"('Jan Holoubek', 'Bartłomiej Ignaciuk')",0048062,3835131,7415355,1450132,3953738,,Drama,,Jan Holoubek,Bartlomiej Ignaciuk,
tt19723774,tvSeries,The Green Glove Gang,The Green Glove Gang,2022,0,30,6.5,924.0,Netflix,13,19723774,210750,,14066892,14066891,6339432,6339432,,,Comedy,Crime,Tadeusz Sliwa,,
tt22055200,tvSeries,The Fight for Justice: Paolo Guerrero,The Fight for Justice: Paolo Guerrero,2022,0,45,6.5,122.0,Netflix,14,22055200,210071,,1659906,1893578,3307029,1659906,3307018,,Biography,Drama,Javier Fuentes-León,Daniel Vega Vidal,
tt21963650,tvMiniSeries,"Belascoarán, PI","Belascoarán, PI",2022,0,75,7.3,1441.0,Netflix,16,21963650,206709,Rodrigo Santos,2730360,0846745,14320649,1103210,0176496,1659777,Crime,Mystery,Gonzalo Amat,Ernesto Contreras,
tt15576994,tvSeries,Holy Family,Holy Family,2022,2023,40,6.5,2658.0,Netflix,18,15576994,156883,Manolo Caro,1919456,3369970,3374051,1919456,,,Drama,,Manolo Caro,,
tt14463608,tvSeries,If Only,If Only,2022,0,35,6.2,1420.0,Netflix,13,14463608,123531,Irma Correa,12492257,1754570,6273213,2160742,1629095,14185220,Drama,,Liliana Bocanegra,Humberto Miró,
tt14486722,tvSeries,Man on Pause,Man on Pause,2022,0,45,6.7,4454.0,Netflix,18,14486722,209793,Engin Günaydın,1085525,,,1533201,1613185,,Comedy,Drama,Durul Taylan,Yagmur Taylan,
tt22010560,tvMiniSeries,Aftershock: Everest and the Nepal Earthquake,Aftershock: Everest and the Nepal Earthquake,2022,2022,149,7.3,4024.0,Netflix,18,22010560,208952,,\N,,,1360067,,,Documentary,,Olly Lambert,,
tt22180926,tvSeries,Island of the Sea Wolves,Island of the Sea Wolves,2022,0,45,7.8,1007.0,Netflix,7,22180926,211694,,1470516,,,1363148,5302984,1158179,Action,Adventure,Alex Burr,Chelsea Turner,
tt22171778,tvMiniSeries,Sue Perkins: Perfectly Legal,Sue Perkins: Perfectly Legal,2022,2022,128,6.8,268.0,Netflix,16,22171778,210818,,\N,,,1496020,,,Documentary,,Chris Cottam,,
tt22437106,tvSeries,Earthstorm,Earthstorm,2022,0,45,7.3,1424.0,Netflix,13,22437106,211942,,\N,,,10288980,1941975,11099280,Documentary,,Adam Brown,Tim Lambert,
tt22437092,tvSeries,My Encounter with Evil,My Encounter with Evil,2022,0,45,4.7,248.0,Netflix,13,22437092,213288,"('Andrés Borda', 'Oscar Botia')",3724132,8944133,0305563,0305563,0305564,2107231,Documentary,Horror,Adrian Garcia Bogliano,Ramiro García Bogliano,
tt15553888,tvSeries,I Am a Stalker,I Am a Stalker,2022,0,50,6.5,659.0,Netflix,18,15553888,213333,,\N,,,4238663,5462802,0242439,Crime,Documentary,Edmond Buckley,Alana McVerry,
tt10948716,tvSeries,Inside Man,Inside Man,2022,2022,240,6.6,34684.0,Netflix,16,10948716,121710,Steven Moffat,0595590,,,0006476,,,Crime,Drama,Paul McGuigan,,
tt22750574,tvSeries,The Nutty Boy,The Nutty Boy,2022,0,13,7.3,73.0,Netflix,7,22750574,210834,,9983633,5522574,14372835,6231322,14373322,3779142,Animation,Comedy,Beto Gomez,Diego Marques,
tt22646714,tvMiniSeries,Killer Sally,Killer Sally,2022,2022,149,6.7,5916.0,Netflix,18,22646714,212870,,\N,,,0123379,,,Crime,Documentary,Nanette Burstein,,
