Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
95,tt6473066,2022-01-01,2022-01-01,,Clouds,https://www.imdb.com/title/tt6473066/,movie,7.5,121,2020,"Biography, Drama, Music",11383,2020-10-09,Justin Baldoni
96,tt8484160,2022-01-01,2022-01-01,,Black Beauty,https://www.imdb.com/title/tt8484160/,movie,6.4,110,2020,"Drama, Family",4253,2020-11-27,Ashley Avis
97,tt11681250,2022-01-01,2022-01-01,,Godmothered,https://www.imdb.com/title/tt11681250/,movie,6.1,110,2020,"Comedy, Drama, Family, Fantasy",13715,2020-12-04,Sharon Maguire
98,tt10649016,2022-01-01,2022-01-01,,Safety,https://www.imdb.com/title/tt10649016/,movie,6.8,122,2020,"Biography, Drama, Sport",4590,2020-12-11,Reginald Hudlin
99,tt2948372,2022-01-01,2022-01-01,,Soul,https://www.imdb.com/title/tt2948372/,movie,8.0,100,2020,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Music",365607,2020-10-11,"Pete Docter, Kemp Powers"
100,tt8521736,2022-01-01,2022-01-01,,Flora & Ulysses,https://www.imdb.com/title/tt8521736/,movie,6.2,95,2021,"Adventure, Comedy, Family",6567,2021-02-19,Lena Khan
101,tt12801262,2022-01-01,2022-01-01,,Luca,https://www.imdb.com/title/tt12801262/,movie,7.4,95,2021,"Animation, Adventure, Comedy, Drama, Family, Fantasy",185764,2021-06-17,Enrico Casarosa
102,tt11012066,2022-01-01,2022-01-01,,Home Sweet Home Alone,https://www.imdb.com/title/tt11012066/,movie,3.6,93,2021,"Comedy, Crime, Family",19700,2021-04-04,Dan Mazer
103,tt13834480,2022-01-01,2022-01-01,,Diary of a Wimpy Kid,https://www.imdb.com/title/tt13834480/,movie,5.1,58,2021,"Animation, Comedy, Drama, Family",4017,2021-04-23,"Gino Nichele, Swinton O. Scott III"
104,tt11550148,2022-01-01,2022-01-01,,One Day at Disney,https://www.imdb.com/title/tt11550148/,movie,7.0,61,2019,Documentary,521,2019-12-03,Fritz Mitchell
105,tt10055028,2022-01-01,2022-01-01,,Dolphin Reef,https://www.imdb.com/title/tt10055028/,movie,7.4,77,2018,"Documentary, Family",1229,2018-03-28,"Alastair Fothergill, Keith Scholey"
106,tt12036052,2022-01-01,2022-01-01,,Elephant,https://www.imdb.com/title/tt12036052/,movie,7.3,86,2020,"Documentary, Adventure, Biography, Family",2393,2020-04-03,"Vanessa Berlowitz, Alastair Fothergill, Mark Linfield"
107,tt7682430,2022-01-01,2022-01-01,,Howard,https://www.imdb.com/title/tt7682430/,movie,7.5,94,2018,"Documentary, Biography, Music",1415,2018-04-22,Don Hahn
108,tt13524234,2022-01-01,2022-01-01,,Folklore: The Long Pond Studio Sessions,https://www.imdb.com/title/tt13524234/,movie,8.4,105,2020,"Documentary, Drama, Music",4551,2020-11-25,Taylor Swift
109,tt13885628,2022-01-01,2022-01-01,,Marvel's Behind the Mask,https://www.imdb.com/title/tt13885628/,movie,6.4,64,2021,Documentary,524,2021-02-12,Mike Jacobs
110,tt14017018,2022-01-01,2022-01-01,,Own the Room,https://www.imdb.com/title/tt14017018/,movie,6.7,91,2021,Documentary,249,2021-03-12,"Cristina Costantini, Darren Foster"
111,tt11146690,2022-01-01,2022-01-01,,Wolfgang,https://www.imdb.com/title/tt11146690/,movie,6.9,78,2021,"Documentary, Biography",444,2021-06-12,David Gelb
