Title,titleType,startYear,endYear,Streamer,Coproduction?,genres,Coproduction Company
White House Plumbers,tvMiniSeries,2023,2023,HBO(Max),0,,
The Hitchhiker,tvMiniSeries,1983,1987,HBO(Max),1,Anthology,Co-production with First Choice
The Ray Bradbury Theater,tvMiniSeries,1985,1986,HBO(Max),0,Anthology,
Tales from the Crypt,tvMiniSeries,1989,1996,HBO(Max),0,Anthology,
Lifestories: Families in Crisis,tvMiniSeries,1992,1996,HBO(Max),0,Anthology,
Hotel Room,tvMiniSeries,1993,1993,HBO(Max),0,Anthology,
Perversions of Science,tvMiniSeries,1997,1997,HBO(Max),0,Anthology,
Room 104,tvMiniSeries,2017,2020,HBO(Max),0,Anthology,
Folklore,tvMiniSeries,2018,2022,HBO(Max),1,Anthology,Co-production with HBO Asia
Spicy City,tvSeries,1997,1997,HBO(Max),0,Animation,
Todd McFarlane's Spawn,tvSeries,1997,1999,HBO(Max),0,Animation,
The Life & Times of Tim,tvSeries,2008,2012,HBO(Max),0,Animation,
The Ricky Gervais Show,tvSeries,2010,2012,HBO(Max),1,Animation,Co-production with Channel 4
Animals,tvSeries,2016,2018,HBO(Max),0,,
Fraggle Rock,tvSeries,1983,1987,HBO(Max),1,Kids & Family,Co-production with TVS and CBC
HBO Storybook Musicals,tvSeries,1987,1994,HBO(Max),0,Kids & Family,
Seabert,tvSeries,1987,1989,HBO(Max),1,Kids & Family,Co-production with France 2
The Real Story of...,tvSeries,1991,1994,HBO(Max),1,Kids & Family,Co-production with CTV
Happily Ever After: Fairy Tales for Every Child,tvSeries,1995,2000,HBO(Max),0,Kids & Family,
The Little Lulu Show,tvSeries,1995,1999,HBO(Max),1,Kids & Family,Co-production with Family Channel
The Neverending Story,tvSeries,1995,1996,HBO(Max),0,Kids & Family,
Tales from the Neverending Story,tvSeries,1996,2000,HBO(Max),0,Kids & Family,
The Adventures of Paddington Bear,tvSeries,1998,2000,HBO(Max),0,Kids & Family,
The Country Mouse and the City Mouse Adventures,tvSeries,1998,2001,HBO(Max),1,Kids & Family,Co-production with France 3
A Little Curious,tvSeries,1998,2000,HBO(Max),0,Kids & Family,
Crashbox,tvSeries,1999,2000,HBO(Max),0,Kids & Family,
30 by 30: Kid Flicks,tvSeries,1999,2001,HBO(Max),0,Kids & Family,
Anthony Ant,tvSeries,1999,1999,HBO(Max),,Kids & Family,Co-production with YTV
George and Martha,tvSeries,1999,2000,HBO(Max),1,Kids & Family,Co-production with YTV
Rainbow Fish,tvSeries,1999,2004,HBO(Max),1,Kids & Family,Co-production with Teletoon
Animated Tales of the World,tvSeries,2001,2006,HBO(Max),1,Kids & Family,Co-production with Channel 4
Harold and the Purple Crayon,tvSeries,2001,2002,HBO(Max),0,Kids & Family,
I Spy,tvSeries,2002,2004,HBO(Max),0,Kids & Family,
Stuart Little,tvSeries,2002,2003,HBO(Max),0,Kids & Family,
Classical Baby,tvSeries,2005,2008,HBO(Max),0,Kids & Family,
Sesame Street,tvSeries,2016,2020,HBO(Max),0,Kids & Family,
Esme & Roy,tvSeries,2018,2019,HBO(Max),1,Kids & Family,Co-production with Treehouse TV
