Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
56,tt3230854,2020-08-18,2020-08-18,,The Expanse,https://www.imdb.com/title/tt3230854/,tvSeries,8.5,60,2015,"Drama, Mystery, Sci-Fi",167760,2015-09-15,
57,tt6794990,2020-08-18,2020-08-18,,Absentia,https://www.imdb.com/title/tt6794990/,tvSeries,7.2,60,2017,"Crime, Drama, Mystery, Thriller",16927,2017-09-25,
58,tt4594834,2020-08-18,2020-08-18,,Chi-Raq,https://www.imdb.com/title/tt4594834/,movie,5.9,127,2015,"Comedy, Crime, Drama, Musical",10576,2015-12-04,Spike Lee
59,tt3277624,2020-08-18,2020-08-18,,Creative Control,https://www.imdb.com/title/tt3277624/,movie,5.4,97,2015,"Drama, Sci-Fi",2269,2015-03-14,Benjamin Dickinson
60,tt2093991,2020-08-18,2020-08-18,,Elvis & Nixon,https://www.imdb.com/title/tt2093991/,movie,6.4,86,2016,"Comedy, History",14913,2016-04-18,Liza Johnson
61,tt3068194,2020-08-18,2020-08-18,,Love & Friendship,https://www.imdb.com/title/tt3068194/,movie,6.4,90,2016,"Comedy, Drama, Romance",26141,2016-01-23,Whit Stillman
62,tt1974419,2020-08-18,2020-08-18,,The Neon Demon,https://www.imdb.com/title/tt1974419/,movie,6.1,117,2016,"Horror, Thriller",102472,2016-05-20,Nicolas Winding Refn
63,tt4144190,2020-08-18,2020-08-18,,Wiener-Dog,https://www.imdb.com/title/tt4144190/,movie,5.9,88,2016,"Comedy, Drama",10881,2016-01-22,Todd Solondz
64,tt4513674,2020-08-18,2020-08-18,,Café Society,https://www.imdb.com/title/tt4513674/,movie,6.6,96,2016,"Comedy, Drama, Romance",80427,2016-05-11,Woody Allen
65,tt4632316,2020-08-18,2020-08-18,,Gleason,https://www.imdb.com/title/tt4632316/,movie,8.3,110,2016,"Documentary, Biography",3052,2016-01-23,Clay Tweel
66,tt4230700,2020-08-18,2020-08-18,,Complete Unknown,https://www.imdb.com/title/tt4230700/,movie,5.4,91,2016,"Drama, Mystery",6476,2016-01-25,Joshua Marston
67,tt2910904,2020-08-18,2020-08-18,,The Dressmaker,https://www.imdb.com/title/tt2910904/,movie,7.0,119,2015,"Comedy, Drama, Western",64492,2015-09-14,Jocelyn Moorhouse
68,tt6807046,2020-08-18,2020-08-18,,"An American Girl Story: Summer Camp, Friends for Life",https://www.imdb.com/title/tt6807046/,tvMovie,6.4,32,2017,Family,94,2017-06-09,Alison McDonald
69,tt4016934,2020-08-18,2020-08-18,,Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,movie,8.1,145,2016,"Drama, Romance, Thriller",166648,2016-05-14,Park Chan-wook
70,tt1714917,2020-08-18,2020-08-18,,Gimme Danger,https://www.imdb.com/title/tt1714917/,movie,7.2,108,2016,"Documentary, Music",6385,2016-05-19,Jim Jarmusch
71,tt4034228,2020-08-18,2020-08-18,,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,305079,2016-01-23,Kenneth Lonergan
72,tt5247022,2020-08-18,2020-08-18,,Paterson,https://www.imdb.com/title/tt5247022/,movie,7.3,118,2016,"Comedy, Drama, Romance",87482,2016-05-16,Jim Jarmusch
