imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,creator/actor?,first_country,second_country,actor_1_name,actor_2_name,cast_pop,actor_1_pop,actor_2_pop
tt10973800,tvSeries,Equinox,Equinox,2020,2020,43,6.1,7751,Netflix,18,10973800,113600,10979585,2042393,1460271,1490101,1323584,1490101,Drama,Fantasy,Søren Balle,Mads Matthiesen,Søren Balle,Mette Kruse,Tea Lindeburg,Tue Walin Storm,47,0.6,0.6,0.6,0.6,1.0,0.6,26.2,6,1,0.7,da,0,DK,DK,Ask Truelsen, Danica Ćurčić,8.7,2.7,14.7
tt8404520,tvSeries,Ares,Ares,2020,2020,32,5.7,4815,Netflix,18,8404520,86769,3212171,474233,2940499,6694124,2146887,6694124,Drama,Horror,Giancarlo Sanchez,Michiel ten Horn,Giancarlo Sanchez,Matthijs Bockting,Pieter Kuijpers,Michael Leendertse,33,1.4,0.8,0.6,0.6,0.6,0.6,20.5,8,1,0.8,nl,0,NL,NL,Jade Olieberg, Tobias Kersloot,6.0,5.3,6.8
tt4003966,tvSeries,Marseille,Marseille,2016,2018,41,6.9,5553,Netflix,18,4003966,65466,290425,802807,810987,802807,319624,550071,Drama,Drama,Florent-Emilio Siri,Thomas Gilou,Florent-Emilio Siri,Dan Franck,Florent-Emilio Siri,Gregory Snegoff,55,0.6,2.7,1.4,2.7,2.8,2.7,53.0,16,2,2.2,fr,0,FR,FR,Valentine Lescure, Natacha Régnier,8.3,1.6,14.9
tt10423460,tvSeries,Family Business,Family Business,2019,2021,0,7.4,4885,Netflix,18,10423460,89785,3214170,6374978,331868,331868,331868,331868,Comedy,Comedy,Igor Gotesman,Igor Gotesman,Igor Gotesman,Jonathan Cohen,Shane Gotcher,Igor Gotesman,27,8.0,8.0,1.6,1.6,1.6,1.6,60.8,18,3,3.7,fr,1,FR,FR,Jonathan Cohen, Gérard Darmon,24.7,25.3,24.1
tt10875696,tvSeries,Marianne,Marianne,2019,2019,50,7.4,18180,Netflix,18,10875696,92916,3306595,2898320,3306595,3306595,3306595,3306595,Drama,Horror,Samuel Bodin,Samuel Bodin,Samuel Bodin,Samuel Bodin,Quoc Dang Tran,Samuel Bodin,52,0.8,0.6,0.8,0.8,0.8,0.8,26.1,8,1,0.8,fr,0,FR,FR,Victoire Du Bois, Lucie Boujenah,11.6,9.2,14.1
tt10986052,tvMiniSeries,Criminal: France,Criminal: France,2019,2019,39,7.2,4542,Netflix,18,10986052,93888,3197544,443047,2610438,581081,581081,581081,Crime,Drama,Frédéric Mermoud,Frédéric Mermoud,Frédéric Mermoud,Mathieu Missoffe,George Kay,Antonin Martin-Hilbert,40,0.6,1.4,0.6,0.6,0.6,0.6,33.3,3,1,0.7,fr,0,,,Margot Bancilhon, Anne Azoulay,10.4,12.6,8.2
tt11829316,tvSeries,Vampires,Vampires,2020,2020,0,5.7,1451,Netflix,18,11829316,99935,2783886,9103652,1486153,4451779,3937063,4451779,Drama,Fantasy,Vladimir de Fontenay,Marie Monge,Vladimir de Fontenay,Benjamin Dupas,Isaure Pisani-Ferry,Sylvie Chanteux,40,0.7,0.6,0.6,1.6,0.6,1.6,29.2,6,1,0.9,fr,0,FR,FR,Juliette Cardinski, Oulaya Amamra,8.6,5.4,11.8
tt13044528,tvSeries,La Révolution,La Révolution,2020,2020,0,6.6,6215,Netflix,18,13044528,99807,3540974,1615033,7600946,4662274,1919480,7978526,Action,Adventure,Jérémie Rozan,Edouard Salier,Jérémie Rozan,Sabine Dabadie,Gaia Guasti,Hamid Hlioua,46,0.6,0.6,1.0,0.7,0.6,0.7,38.5,8,1,0.7,fr,0,FR,FR,Amir el Kacem, Marilou Aussilloux,10.7,10.0,11.4
tt14252964,tvMiniSeries,Gone for Good,Gone for Good,2021,2021,247,6.3,4841,Netflix,18,14252964,128068,1454192,2182068,6108955,575726,575726,575726,Crime,Drama,Juan Carlos Medina,Juan Carlos Medina,Juan Carlos Medina,Harlan Coben,David Elkaïm,Marion Festraëts,44,21.4,0.6,0.6,0.8,0.8,0.8,35.9,5,1,4.2,fr,0,FR,FR,Finnegan Oldfield, Nicolas Duvauchelle,11.3,14.2,8.3
tt5753856,tvSeries,Dark,Dark,2017,2020,1455,8.7,430771,Netflix,18,5753856,70523,2171633,1296729,4657617,2171633,2171633,2171633,Crime,Drama,Baran bo Odar,Baran bo Odar,Baran bo Odar,Baran bo Odar,Jantje Friese,Marc O. Seng,26,4.9,4.3,2.1,4.9,4.9,4.9,163.1,26,3,4.3,de,0,DE,DE,Louis Hofmann, Karoline Eichhorn,20.6,26.7,14.6
