imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt0465326,tvMiniSeries,Elizabeth I,Elizabeth I,2005,2005,223,"Biography,Drama,History",7.9,6972.0,HBO(Max),nm0393799,nm0931388,,465326,13291.0
tt0758789,tvMiniSeries,Tsunami: The Aftermath,Tsunami: The Aftermath,2006,2006,111,Drama,6.8,2307.0,HBO(Max),nm0620576,nm0604448,,758789,13238.0
tt2401256,tvMiniSeries,The Night Of,The Night Of,2016,2016,525,"Crime,Drama,Mystery",8.4,167570.0,HBO(Max),"nm0001873,nm1016428","nm0595584,nm0697115,nm0001873",,2401256,862.0
tt8694364,tvMiniSeries,Years and Years,Years and Years,2019,2019,60,"Drama,Sci-Fi",8.3,32534.0,HBO(Max),"nm0611679,nm0148116",nm0203961,,8694364,239729.0
tt8550800,tvSeries,The Outsider,The Outsider,2020,2020,60,"Crime,Drama,Horror",7.6,93610.0,HBO(Max),"nm0076997,nm0007125,nm0476201,nm0000867,nm0104851,nm0717225,nm2300570","nm0000175,nm0697115,nm1212331,nm6863995",,8550800,30191.0
tt1553644,tvSeries,The Ricky Gervais Show,The Ricky Gervais Show,2010,2012,30,"Animation,Comedy,Talk-Show",8.4,17021.0,HBO(Max),"nm1683464,nm0446063","nm0315041,nm0580351,nm1797453",,1553644,35305.0
tt0242213,tvSeries,The Little Lulu Show,The Little Lulu Show,1995,1999,25,"Animation,Comedy,Family",7.2,775.0,HBO(Max),"nm2902698,nm0726894,nm0047278","nm0487548,nm0540695,nm1044423,nm0330820,nm0298077,nm2862777,nm1093722,nm0674902,nm1044464,nm0034860,nm1057737,nm2108500,nm2136573,nm0528573,nm1991806,nm0003944,nm0969050,nm1839655,nm0612283,nm0429115,nm1040177,nm1233152,nm1044449,nm1129327,nm3138883,nm1040467,nm0555658,nm0602922,nm5742446,nm1044422,nm0084225,nm0094541,nm1740517,nm0432256,nm0762561,nm1104513,nm1438264,nm1089179,nm0098898,nm5742534,nm0359547,nm5742527,nm1090730,nm1455797,nm1994926,nm1091204,nm5742528,nm1091597,nm0119151",,242213,10400.0
tt0115406,tvSeries,The Neverending Story,The Neverending Story,1995,1996,30,"Adventure,Animation,Fantasy",6.1,295.0,HBO(Max),"nm0266457,nm2521923","nm1986243,nm1993267,nm12617885,nm0186897,nm2688290,nm1740517,nm3965682,nm1044464,nm0745268,nm2351178,nm0766558,nm0774927,nm0808523,nm0811842,nm1059532,nm1003939",,115406,10986.0
tt0238783,tvSeries,George and Martha,George and Martha,1999,2000,30,"Animation,Comedy,Family",7.0,233.0,HBO(Max),"nm1712238,nm0885795,nm0843220","nm0550930,nm0432256,nm0540695,nm0675708,nm1130314,nm1379970,nm1493255,nm1494121,nm0858392,nm1074118,nm0918597,nm0325214,nm0509511,nm0056548,nm0224851,nm0612283,nm0638218",,238783,1822.0
tt0283735,tvSeries,Harold and the Purple Crayon,Harold and the Purple Crayon,2001,2002,0,"Animation,Family,Fantasy",7.9,147.0,HBO(Max),"nm2705237,nm0858355,nm0814295,nm0254085,nm1452674","nm1740768,nm2181183,nm0458807,nm0319175,nm0471217,nm1453801,nm0366554,nm0834669,nm1332821",,283735,24875.0
tt0397161,tvSeries,I Spy,I Spy,2002,0,0,Animation,7.3,68.0,HBO(Max),"nm0211005,nm0088101,nm4853622,nm1556161","nm0704806,nm0833100,nm1237528,nm1740768,nm1161923,nm0674902,nm1044464,nm1093722,nm0121402,nm1017001,nm1089133",,397161,4899.0
tt0096677,tvSeries,"Philip Marlowe, Private Eye","Philip Marlowe, Private Eye",1983,1986,60,"Action,Crime,Mystery",7.8,473.0,HBO(Max),"nm0410769,nm0402597,nm0285302,nm0370868,nm0926892,nm0454437,nm0492275","nm0151452,nm0252100,nm0390415,nm0489679,nm0548999,nm0370713,nm0809424,nm0838721,nm0926892",,96677,1064.0
tt0085065,tvSeries,Not Necessarily the News,Not Necessarily the News,1982,1990,\N,Comedy,7.5,549.0,HBO(Max),"nm0145376,nm0595657,nm0343622,nm0469689,nm0589106","nm0036784,nm0403791,nm1238470,nm0764861,nm0356025,nm0595657,nm0691114,nm0724312,nm0469689,nm1115689,nm0561631,nm1269014,nm0419830,nm0718514,nm0005277,nm0054993,nm2959721,nm0743550,nm3657919,nm0532250,nm2960756,nm0548582,nm0199948,nm0056462,nm3656200,nm1547528,nm1044461,nm0643824,nm2961292,nm0583127,nm0771680,nm2399917,nm0704989,nm0950085,nm0733427,nm0001834,nm0038660,nm3034778,nm3629009,nm2960350,nm0348800,nm2961455,nm0943237,nm15405589,nm0493858,nm0755293",,85065,9916.0
tt0096576,tvSeries,Encyclopedia Brown,Encyclopedia Brown,1989,\N,55,"Adventure,Comedy,Family",7.7,119.0,HBO(Max),nm0390822,"nm0532530,nm1583726",,96576,28534.0
tt0364813,tvSeries,Hardcore TV,Hardcore TV,1992,\N,\N,Comedy,8.2,92.0,HBO(Max),"nm0931906,nm0169874","nm0298858,nm0975028,nm1357846,nm0625789",,364813,14774.0
tt0086711,tvMiniSeries,The Far Pavilions,The Far Pavilions,1984,1984,315,"Drama,History,Romance",7.0,861.0,HBO(Max),nm0240439,"nm0093972,nm0443349",,86711,47779.0
tt0094562,tvMiniSeries,Tanner '88,Tanner '88,1988,1988,353,"Comedy,Drama",7.8,938.0,HBO(Max),nm0000265,nm0874034,,94562,1804.0
tt0107378,tvMiniSeries,Laurel Avenue,Laurel Avenue,1993,1993,180,Drama,7.9,149.0,HBO(Max),nm0002083,"nm0007477,nm0114285",,107378,14986.0
tt0088591,tvSeries,The Ray Bradbury Theater,The Ray Bradbury Theater,1985,1992,23,"Drama,Fantasy,Horror",7.3,1652.0,HBO(Max),"nm0103523,nm0867011,nm0481910,nm0090904,nm0877427,nm0848414,nm0528420,nm0564260,nm0685923,nm0182978,nm0531640,nm0567680,nm0612786,nm0789128,nm0869629,nm0296651,nm0859389,nm0413465,nm0095085,nm0126756,nm0144110,nm0227192,nm0335131,nm0348274,nm0793525,nm0093151,nm0104617,nm0178593,nm0471862,nm0572560,nm0614583,nm0041032,nm0047195,nm0132490,nm0512052,nm0546765,nm0663328,nm0717305,nm0923768,nm0206758","nm0001969,nm0557162,nm0206758",,88591,5656.0
