imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,origin_country,actors,creator/actor?
tt5421602,tvSeries,Anne with an E,Anne with an E,2017,2019,60,8.6,63782,Netflix,0,5421602,70785,599844,909124,6752528,289186,850102,923768,Drama,Family,Paul Fox,Amanda Tapping,Paul Fox,Lucy Maud Montgomery,Moira Walley-Beckett,Kathryn Borel,47,2.066,3.004,1.4,5.825,14.809,5.825,150.854,27,3,5.488166666666667,en,['CA'],"('Amybeth McNulty', 'Geraldine James')",0
tt6692188,tvSeries,El Chapo,El Chapo,2017,2018,43,7.8,20100,Netflix,18,6692188,71411,1885111,2208165,3307029,176496,1458283,2872021,Biography,Crime,Ernesto Contreras,J.M Cravioto,Ernesto Contreras,Silvana Aguirre,Esteban Orozco,Diego Vega Vidal,55,0.6,0.6,0.694,1.22,0.84,1.22,90.962,32,3,0.8623333333333334,es,['US'],"('Marco de la O', 'Valentina Acosta')",0
tt6983520,tvSeries,Kantaro: The Sweet Tooth Salaryman,Kantaro: The Sweet Tooth Salaryman,2017,0,24,7.5,898,Netflix,13,6983520,78795,2136604,9340700,9340699,1960087,4866109,9340747,Adventure,Comedy,Kentarô Moriya,Yûsuke Ishida,Kentarô Moriya,Shin Adachi,Tensei Hagiwara,Abidi Inoue,24,1.382,1.382,1.382,0.6,1.03,0.6,18.914,12,1,1.0626666666666666,ja,['JP'],"('Matsuya Onoe', 'Ren Ishikawa')",0
tt5721172,tvSeries,The Worst Witch,The Worst Witch,2017,0,30,7.2,3053,Netflix,7,5721172,69581,1121448,1802801,1215670,132392,101748,1202909,Family,Fantasy,Dirk Campbell,Dermot Boyd,Dirk Campbell,Jill Murphy,Emma Reeves,Neil Jones,29,0.6,1.38,0.6,0.6,0.6,0.6,99.673,52,4,0.73,en,['GB'],"('Lydia Page', 'Megan Hughes')",0
tt6686450,tvMiniSeries,"1,000,000 yen no Onnatachi","1,000,000 yen no Onnatachi",2017,2017,30,7.5,2085,Netflix,14,6686450,73325,5053186,1954555,8870948,5706837,8398618,4934198,Crime,Mystery,Michihito Fujii,Hiroto Hara,Michihito Fujii,Shunjû Aono,Yoshitatsu Yamada,Yoshimiko Murooka,24,0.6,0.6,0.6,4.673,1.411,4.673,64.632,12,1,2.092833333333333,ja,['JP'],"('Yojiro Noda', 'Rena Matsui')",0
tt1034007,tvMiniSeries,Alias Grace,Alias Grace,2017,2017,267,7.6,36977,Netflix,18,1034007,72615,41194,1631,41194,366004,366004,366004,Biography,Crime,Mary Harron,Mary Harron,Mary Harron,Margaret Atwood,Sarah Polley,Margaret Atwood,46,3.067,23.551,3.067,5.079,5.079,5.079,122.896,6,1,7.486999999999999,en,['CA'],"('Sarah Gadon', 'Edward Holcroft')",0
tt4192782,tvSeries,Glitch,Glitch,2015,2019,45,7.2,20533,Netflix,18,4192782,63201,44016,289125,2345880,1175458,1097974,1175458,Drama,Horror,Emma Freeman,Tony Krawitz,Emma Freeman,Tony Ayres,Louise Fox,Adam Hill,52,2.176,1.045,0.6,0.852,1.4,0.852,78.536,18,3,1.1541666666666666,en,['AU'],"('Patrick Brammall', 'Emma Booth')",0
tt7573686,tvSeries,Erased,Erased,2017,2017,30,7.8,4284,Netflix,14,7573686,65249,7474224,7474224,7474224,1033087,1033087,1033087,Drama,Fantasy,Ten Shimoyama,Ten Shimoyama,Ten Shimoyama,Kei Sambe,Kei Sambe,Kei Sambe,25,0.6,0.6,0.6,1.132,1.132,1.132,126.273,12,1,0.866,ja,['JP'],"('Shinnosuke Mitsushima', 'Tao Tsuchiya')",0
tt6257970,tvSeries,The End of the F***ing World,The End of the F***ing World,2017,2019,25,8.0,214175,Netflix,18,6257970,74577,2625195,1966892,6981033,3536642,3370884,3277531,Adventure,Comedy,Jonathan Entwistle,Lucy Tcherniak,Jonathan Entwistle,Andy Baker,Charlie Covell,Charles S. Forsman,21,0.6,1.4,0.6,2.295,0.6,2.295,70.029,16,2,1.2983333333333331,en,['GB'],"('Alex Lawther', 'Jessica Barden')",0
tt6106704,tvSeries,Damnation,Damnation,2017,2018,60,7.6,8955,Netflix,18,6106704,71979,5136004,1135653,1321257,437246,527109,1576066,Crime,Drama,Adam Kane,Rod Lurie,Adam Kane,Tony Tost,Nazrin Choudhury,Julia Cohen,42,0.682,1.96,0.6,2.015,5.65,2.015,60.654,10,1,2.153666666666667,en,['US'],"('Killian Scott', 'Logan Marshall-Green')",0
