imdb_id,tmdb_id,Title,titleType,startYear,endYear,Streamer,Age,genre_1,genre_2,creator/actor?,origin_language,director_1_name,director_2_name,originalTitle,writer_1_imdb#,writer_2_imdb#,writer_3_imdb#,director_1_imdb#,director_2_imdb#,director_3_imdb#,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,first_country,second_country,actor_1_pop,actor_2_pop,actor_1_name,actor_2_name,cast_pop,team_popularity,imdb_rating,imdb_no_votes,total_popularity
2235759,93812,The Great,tvSeries,2020,2023,Hulu,18,Biography,Comedy,0,en,Colin Bucksey,Matthew Moore,The Great,1110111,18790,9234084,118778,601599,2134432,Colin Bucksey,Tony McNamara,Vanessa Alexander,Gretel Vella,30,4.4,0.7,0.6,4.0,0.6,4.0,99.1,30,3,US,US,57.0,23.2,Elle Fanning, Phoebe Fox,40.1,2.4,8.2,52635,4.97
10166602,97186,"Love, Victor",tvSeries,2020,2022,Hulu,14,Comedy,Drama,0,en,Jason Ensler,Natalia Leite,"Love, Victor",7698350,4170842,74165,258128,3399862,1420377,Jason Ensler,Becky Albertalli,Isaac Aptaker,Elizabeth Berger,30,1.4,4.9,1.4,1.3,0.6,1.3,171.4,28,3,US,US,13.2,13.5,Michael Cimino, Rachel Hilson,13.4,1.8,8.0,21301,4.85
2818496,28104,The Awesomes,tvSeries,2013,2015,Hulu,14,Action,Animation,1,en,Sean Coyle,Jason Shwartz,The Awesomes,1024878,794727,4757453,1980744,2539632,1980744,Sean Coyle,Seth Meyers,Michael Shoemaker,Ben Warheit,30,10.8,2.5,0.6,0.6,0.6,0.6,70.8,30,3,US,US,16.9,33.3,Seth Meyers, Ike Barinholtz,25.1,2.6,7.3,1585,4.12
8910922,97645,Solar Opposites,tvSeries,2020,0,Hulu,18,Adventure,Animation,0,en,Bob Suarez,Kim Arndt,Solar Opposites,572982,1551598,8432798,1754908,1490569,161125,Bob Suarez,Mike McMahan,Justin Roiland,Jen McCartney,25,1.3,5.8,0.6,0.7,0.6,0.7,81.3,38,4,US,US,36.0,15.3,Dan Stevens, Sean Giambrone,25.7,1.6,8.0,29641,4.79
10394790,90617,The Bravest Knight,tvSeries,2019,2019,Hulu,7,Animation,Family,0,en,Shabnam Rezaei,Shabnam Rezaei,The Bravest Knight,8751205,736609,8751205,1885073,1885073,1885073,Shabnam Rezaei,Daniel Errico,Randy Rogel,Daniel Errico,12,0.6,2.3,0.6,0.6,0.6,0.6,48.6,13,1,US,US,25.7,24.1,Storm Reid, Bobby Moynihan,24.9,0.9,6.9,139,3.58
2188577,43587,Up to Speed,tvSeries,2012,2012,Hulu,14,Biography,Comedy,0,en,Richard Linklater,Richard Linklater,Up to Speed,506171,500,506171,500,500,500,Richard Linklater,Timothy 'Speed' Levitch,Richard Linklater,Timothy 'Speed' Levitch,24,1.9,10.5,1.9,10.5,10.5,10.5,6.8,6,1,US,US,4.2,4.2,"Timothy ""Speed"" Levitch","Timothy ""Speed"" Levitch",4.2,7.6,6.4,163,3.15
7509270,74359,"I Love You, America",tvSeries,2017,2018,Hulu,18,Comedy,Talk-Show,0,en,Chuck O'Neil,Ted Tremper,"I Love You, America",4132900,3265587,4329054,1337210,3998229,3499593,Chuck O'Neil,Glenn Boozan,Raj Desai,David Ferguson,30,0.6,0.6,3.7,0.6,0.6,0.6,75.3,21,1,US,US,18.5,18.5,Sarah Silverman,Sarah Silverman,18.5,1.1,6.3,1357,3.77
459159,4507,The Thick of It,tvSeries,2005,2012,Hulu,18,Comedy,Comedy,0,en,Armando Iannucci,Natalie Bailey,The Thick of It,406334,2254846,1006581,406334,1707462,1128050,Armando Iannucci,Armando Iannucci,Ian Martin,Simon Blackwell,30,2.0,0.6,3.2,2.0,0.6,2.0,215.0,21,4,GB,GB,19.7,22.2,Chris Addison, Peter Capaldi,20.9,1.8,8.7,25602,5.15
3107224,64887,Mother Up!,tvSeries,2013,2014,Hulu,14,Animation,Comedy,0,en,Steve Evangelatos,Steve Evangelatos,Mother Up!,5501282,963386,868282,2019950,2019950,2019950,Steve Evangelatos,Marnie Nir,Michael Shipley,Katie Torpey,22,0.6,0.7,0.6,0.6,0.6,0.6,26.2,13,1,CA,CA,37.5,7.9,Eva Longoria, Jesse Camacho,22.7,0.6,5.4,605,3.2
2603596,60182,The Wrong Mans,tvSeries,2013,2014,Hulu,18,Comedy,Crime,1,en,Jim Field Smith,Jim Field Smith,The Wrong Mans,2719406,179479,2235764,1637768,1637768,1637768,Jim Field Smith,Mathew Baynton,James Corden,Tom Basden,30,9.0,9.3,1.9,2.8,2.8,2.8,30.6,8,2,GB,GB,29.1,19.8,Mathew Baynton, James Corden,24.4,4.8,7.7,7831,4.36
