,imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name
1373,tt0835434,tvSeries,In Treatment,In Treatment,2008,2021,30,8.3,18088.0,HBO(Max),18,835434,14069,Rodrigo García,0006554,505448.0,74844.0,0054077,6554.0,570995.0,Drama,Drama,Paris Barclay,Rodrigo García,Paris Barclay,Rodrigo García,Hagai Levi,Nir Bergman
1374,tt0844441,tvSeries,True Blood,True Blood,2008,2014,55,7.9,257530.0,HBO(Max),18,844441,10545,Alan Ball,0050332,2363895.0,118748.0,0499724,934525.0,590889.0,Drama,Fantasy,Michael Lehmann,Scott Winant,Michael Lehmann,Alan Ball,Charlaine Harris,Brian Buckner
1375,tt0979432,tvSeries,Boardwalk Empire,Boardwalk Empire,2010,2014,55,8.6,200404.0,HBO(Max),18,979432,1621,Terence Winter,2583291,1010540.0,466122.0,0687964,804556.0,1264352.0,Crime,Drama,Jeremy Podeswa,Kari Skogland,Jeremy Podeswa,Nelson Johnson,Terence Winter,Howard Korder
1376,tt1279972,tvSeries,Treme,Treme,2010,2013,55,8.3,15673.0,HBO(Max),18,1279972,17967,"('Eric Overmyer', 'David Simon')",0653899,800108.0,670782.0,0376006,225416.0,2140.0,Drama,Music,Anthony Hemingway,Ernest R. Dickerson,Anthony Hemingway,Eric Ellis Overmyer,David Simon,George Pelecanos
1377,tt0944947,tvSeries,Game of Thrones,Game of Thrones,2011,2019,4189,9.2,2237514.0,HBO(Max),18,944947,1399,"('David Benioff', 'D.B. Weiss')",1125275,552333.0,1888967.0,0638354,851930.0,336241.0,Action,Adventure,David Nutter,Alan Taylor,David Nutter,David Benioff,George R.R. Martin,D.B. Weiss
1378,tt1578887,tvSeries,Luck,Luck,2011,2012,52,7.4,6142.0,HBO(Max),18,1578887,32727,David Milch,0586965,4409936.0,1631158.0,1047532,637518.0,313623.0,Drama,Sport,Brian Kirk,Phillip Noyce,Brian Kirk,David Milch,John R. Perrotta,Jay Hovdey
1379,tt1870479,tvSeries,The Newsroom,The Newsroom,2012,2014,55,8.6,122824.0,HBO(Max),18,1870479,15621,Aaron Sorkin,0815070,2003798.0,2042817.0,0693561,609549.0,376006.0,Drama,Drama,Alan Poul,Greg Mottola,Alan Poul,Aaron Sorkin,Brendan Fehily,Ian Reichbach
1380,tt2699128,tvSeries,The Leftovers,The Leftovers,2014,2017,60,8.3,109437.0,HBO(Max),18,2699128,54344,"('Tom Perrotta', 'Damon Lindelof')",0511541,674909.0,7226510.0,0001460,2083.0,330360.0,Drama,Fantasy,Mimi Leder,Carl Franklin,Mimi Leder,Damon Lindelof,Tom Perrotta,Nick Cuse
1381,tt3186130,tvSeries,Vinyl,Vinyl,2016,2016,60,7.7,24716.0,HBO(Max),18,3186130,63535,"('Martin Scorsese', 'Mick Jagger', 'Terence Winter', 'Rich Cohen')",5832507,1396.0,217.0,0002339,1580671.0,1237416.0,Drama,Music,Allen Coulter,Jon S. Baird,Allen Coulter,Rich Cohen,Mick Jagger,Martin Scorsese
1382,tt0475784,tvSeries,Westworld,Westworld,2016,2022,62,8.5,526182.0,HBO(Max),18,475784,63247,"('Jonathan Nolan', 'Lisa Joy')",0000341,2847370.0,634300.0,0003557,634300.0,870295.0,Drama,Mystery,Richard J. Lewis,Jonathan Nolan,Richard J. Lewis,Michael Crichton,Lisa Joy,Jonathan Nolan
1383,tt3920596,tvSeries,Big Little Lies,Big Little Lies,2017,2019,356,8.4,219435.0,HBO(Max),18,3920596,66292,David E. Kelley,0005082,3697342.0,9003355.0,0885249,36349.0,0885249,Crime,Drama,Jean-Marc Vallée,Andrea Arnold,Jean-Marc Vallée,David E. Kelley,Liane Moriarty,Matthew Tinker
1384,tt4998350,tvSeries,The Deuce,The Deuce,2017,2019,60,8.1,31294.0,HBO(Max),18,4998350,65817,"('George Pelecanos', 'David Simon')",0670782,800108.0,2841116.0,0003802,225416.0,1264352.0,Drama,Drama,Uta Briesewitz,Ernest R. Dickerson,Uta Briesewitz,George Pelecanos,David Simon,Chris Yakaitis
1385,tt5923012,tvSeries,Here and Now,Here and Now,2018,2018,60,6.8,5103.0,HBO(Max),18,5923012,75506,Alan Ball,0050332,54497.0,8656706.0,0158966,819083.0,687964.0,Comedy,Drama,Lisa Cholodenko,Minkie Spiro,Lisa Cholodenko,Alan Ball,Tanya Barfield,J.R. Edwards
1386,tt7211618,tvSeries,Gentleman Jack,Gentleman Jack,2019,2022,60,8.2,15500.0,HBO(Max),18,7211618,86163,Sally Wainwright,10796599,10024029.0,906550.0,0906550,355542.0,1896712.0,Biography,Drama,Sally Wainwright,Edward Hall,Sally Wainwright,Jill Liddington,Anne Lister,Sally Wainwright
1387,tt5607976,tvSeries,His Dark Materials,His Dark Materials,2019,2022,60,7.8,82796.0,HBO(Max),14,5607976,68507,,1099514,2113666.0,4351441.0,3741255,3295899.0,1916853.0,Adventure,Drama,Jamie Childs,William McGregor,Jamie Childs,Philip Pullman,Jack Thorne,Francesca Gardiner
1388,tt2077823,tvSeries,Perry Mason,Perry Mason,2020,2023,60,7.6,28191.0,HBO(Max),7,2077823,4177,Erle Stanley Gardner,3059930,306916.0,1289754.0,0887700,2197025.0,2036500.0,Crime,Drama,Timothy Van Patten,Deniz Gamze Ergüven,Timothy Van Patten,Ron Fitzgerald,Erle Stanley Gardner,Rolin Jones
1389,tt6905686,tvSeries,Lovecraft Country,Lovecraft Country,2020,2020,60,7.1,46481.0,HBO(Max),18,6905686,82816,Misha Green,3207866,7751070.0,1879398.0,0755261,1312919.0,243109.0,Drama,Fantasy,Daniel Sackheim,Yann Demange,Daniel Sackheim,Misha Green,Shannon Houston,Kevin Lau
1390,tt8697870,tvSeries,The Nevers,The Nevers,2021,2023,58,7.4,27184.0,HBO(Max),18,8697870,80828,Joss Whedon,0923736,2855042.0,1879398.0,0076997,923736.0,783751.0,Action,Drama,Andrew Bernstein,Joss Whedon,Andrew Bernstein,Joss Whedon,Melissa Iqbal,Kevin Lau
1391,tt10244600,tvSeries,Winning Time: The Rise of the Lakers Dynasty,Winning Time: The Rise of the Lakers Dynasty,2022,2023,59,8.3,28077.0,HBO(Max),18,10244600,124067,"('Max Borenstein', 'Jim Hecht')",1440919,2186362.0,4372397.0,0724757,358184.0,1912959.0,Biography,Drama,Salli Richardson-Whitfield,Tanya Hamilton,Salli Richardson-Whitfield,Max Borenstein,Jim Hecht,Jeff Pearlman
1392,tt8783930,tvSeries,The Time Traveler's Wife,The Time Traveler's Wife,2022,2022,45,7.7,17056.0,HBO(Max),18,8783930,81322,Steven Moffat,0595590,1875979.0,,0638354,0638354,0638354,Drama,Sci-Fi,David Nutter,David Nutter,David Nutter,Steven Moffat,Audrey Niffenegger,
1393,tt14954666,tvSeries,The Idol,The Idol,2023,2023,276,4.5,109672.0,HBO(Max),18,14954666,135251,"('Sam Levinson', 'The Weeknd', 'Reza Fahim')",5207738,8407249.0,506094.0,0506094,0506094,0506094,Drama,Music,Sam Levinson,Sam Levinson,Sam Levinson,Nick Bilton,Reza Fahim,Sam Levinson
1394,tt0112084,tvSeries,Mr. Show with Bob and David,Mr. Show with Bob and David,1995,1998,27,8.4,10434.0,HBO(Max),18,112084,610,"('David Cross', 'Bob Odenkirk')",0189144,644022.0,644021.0,0595657,3474.0,267512.0,Comedy,Comedy,John Moffitt,Troy Miller,John Moffitt,David Cross,Bob Odenkirk,Bill Odenkirk
1395,tt0180241,tvSeries,Tenacious D,Tenacious D,1997,2000,30,8.1,3915.0,HBO(Max),14,180241,1171,"('David Cross', 'Jack Black', 'Kyle Gass', 'Bob Odenkirk')",0085312,189144.0,309307.0,0316139,3474.0,0316139,Comedy,Music,Tom Gianas,Troy Miller,Tom Gianas,Jack Black,David Cross,Kyle Gass
1396,tt0159206,tvSeries,Sex and the City,Sex and the City,1998,2004,30,7.3,139728.0,HBO(Max),18,159206,105,Darren Star,0124299,823015.0,455078.0,0455078,2339.0,257554.0,Comedy,Drama,Michael Patrick King,Allen Coulter,Michael Patrick King,Candace Bushnell,Darren Star,Michael Patrick King
1397,tt0275520,tvSeries,The Mind of the Married Man,The Mind of the Married Man,2001,2002,30,7.3,831.0,HBO(Max),18,275520,10968,Mike Binder,0082802,796121.0,1981674.0,0500444,638630.0,82802.0,Comedy,Comedy,Danny Leiner,Roger Nygard,Danny Leiner,Mike Binder,Ritch Shydner,Katayoun A. Marciano
1398,tt0364822,tvSeries,K Street,K Street,2003,2003,30,6.5,317.0,HBO(Max),18,364822,10093,"('George Clooney', 'Steven Soderbergh')",0063785,,,0001752,0001752,0001752,Comedy,Drama,Steven Soderbergh,Steven Soderbergh,Steven Soderbergh,Henry Bean,,
1399,tt0387199,tvSeries,Entourage,Entourage,2004,2011,28,8.4,175510.0,HBO(Max),18,387199,1940,Doug Ellin,0254120,1861274.0,2315750.0,0003733,474955.0,926526.0,Comedy,Drama,Daniel Attias,Roger Kumble,Daniel Attias,Doug Ellin,Wesley S. Nickerson III,Lisa Alden
1400,tt0434672,tvSeries,The Comeback,The Comeback,2005,2014,30,8.1,7678.0,HBO(Max),18,434672,1999,"('Michael Patrick King', 'Lisa Kudrow')",0455078,1435.0,726642.0,0455078,499724.0,726642.0,Comedy,Comedy,Michael Patrick King,Michael Lehmann,Michael Patrick King,Michael Patrick King,Lisa Kudrow,John Riggi
1401,tt0445114,tvSeries,Extras,Extras,2005,2007,30,8.3,59742.0,HBO(Max),18,445114,2693,"('Ricky Gervais', 'Stephen Merchant')",0315041,580351.0,,0315041,580351.0,0315041,Comedy,Drama,Ricky Gervais,Stephen Merchant,Ricky Gervais,Ricky Gervais,Stephen Merchant,
1402,tt0413616,tvSeries,Unscripted,Unscripted,2005,2005,30,7.3,487.0,HBO(Max),18,413616,15025,,\N,,,0000123,381416.0,0000123,Comedy,Drama,George Clooney,Grant Heslov,George Clooney,,,
1403,tt0460619,tvSeries,Lucky Louie,Lucky Louie,2006,2007,30,7.8,10712.0,HBO(Max),18,460619,4540,Louis C.K.,0127373,2095336.0,280624.0,0923396,357143.0,0923396,Comedy,Comedy,Andrew D. Weyman,Gary Halvorson,Andrew D. Weyman,Louis C.K.,Mary Fitzgerald,Greg Fitzsimmons
1404,tt0863046,tvSeries,Flight of the Conchords,Flight of the Conchords,2007,2009,28,8.6,65146.0,HBO(Max),18,863046,2742,"('Jemaine Clement', 'James Bobin', 'Bret McKenzie')",0090386,1318596.0,1235366.0,0090386,3474.0,169806.0,Comedy,Music,James Bobin,Troy Miller,James Bobin,James Bobin,Jemaine Clement,Bret McKenzie
1405,tt0936458,tvSeries,Little Britain USA,Little Britain USA,2008,2008,30,7.6,6656.0,HBO(Max),16,936458,14880,"('Matt Lucas', 'David Walliams', 'Simon Fuller', 'Ben Silverman')",0524240,909144.0,,0417794,1710.0,0417794,Comedy,Comedy,Michael Patrick Jann,David Schwimmer,Michael Patrick Jann,Matt Lucas,David Walliams,
1406,tt1255913,tvSeries,Bored to Death,Bored to Death,2009,2011,28,7.9,34363.0,HBO(Max),18,1255913,31078,Jonathan Ames,0024718,2019550.0,1236625.0,0499724,2835.0,851930.0,Comedy,Crime,Michael Lehmann,Adam Bernstein,Michael Lehmann,Jonathan Ames,Sam Sklaver,Martin Gero
